mouse_num,dob,injection_date,death_date,tumor_noticed,behavior_noticed,strain,virus,src,age_death_capped,genes_ko
22841,2020-02-17,2020-02-20,2020-05-20,NA,2020-05-20,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,90,nf1 KO;pten KO;ink KO;atrx wt
22844,2020-02-17,2020-02-20,2020-06-11,NA,2020-06-11,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,112,nf1 KO;pten KO;ink KO;atrx wt
22845,2020-02-17,2020-02-20,2020-04-05,NA,2020-04-05,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,45,nf1 KO;pten KO;ink KO;atrx wt
22846,2020-02-17,2020-02-20,2020-06-01,NA,2020-05-29,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,102,nf1 KO;pten KO;ink KO;atrx wt
22847,2020-02-17,2020-02-20,2020-06-15,NA,2020-06-11,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,116,nf1 KO;pten KO;ink KO;atrx wt
22921,2020-03-03,2020-03-05,2020-06-17,NA,2020-06-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,104,nf1 KO;pten KO;ink KO;atrx KO
22922,2020-03-03,2020-03-05,2020-07-31,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,300,nf1 KO;pten KO;ink KO;atrx KO
22923,2020-03-03,2020-03-05,2020-06-26,NA,2020-06-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,113,nf1 KO;pten KO;ink KO;atrx KO
22924,2020-03-03,2020-03-05,2020-07-31,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,300,nf1 KO;pten KO;ink KO;atrx KO
22925,2020-03-03,2020-03-05,2020-06-18,NA,2020-06-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,105,nf1 KO;pten KO;ink KO;atrx KO
